Hour,Temperature,Humidity,Gas Level,Day_Number
0:00,22.43,71.81,18.31,1
1:00,23.06,74.18,18.07,1
2:00,20.9,84.26,18.22,1
3:00,21.4,81.94,18.47,1
4:00,20.51,84.18,16.73,1
5:00,20.29,84.95,17.4,1
6:00,21.78,82.95,16.39,1
7:00,19.34,85.34,16.8,1
8:00,21.66,78.82,17.31,1
9:00,21.58,81.46,18.47,1
10:00,23.62,82.97,18.07,1
11:00,23.22,78.09,18.42,1
12:00,23.16,78.99,18.7,1
13:00,23.92,75.05,18.68,1
14:00,24.05,69.21,19.03,1
15:00,24.54,67.97,19.13,1
16:00,24.89,62.95,19.75,1
17:00,24.71,70.13,19.55,1
18:00,24.62,66.19,19.72,1
19:00,23.49,64.83,18.93,1
20:00,23.37,65.12,18.8,1
21:00,22.43,69.28,18.35,1
22:00,20.81,75.02,17.89,1
23:00,21.4,76.54,17.44,1
0:00,21.39,75.06,18.22,2
1:00,23.23,72.91,17.64,2
2:00,22.39,77.49,17.92,2
3:00,21.93,78.91,17.28,2
4:00,21.51,78.96,17.31,2
5:00,20.43,86.76,17.12,2
6:00,19.26,87.68,16.61,2
7:00,20.57,83.8,17.51,2
8:00,21.09,83.73,17.61,2
9:00,20.17,79.7,17.67,2
10:00,23.59,77.45,18.08,2
11:00,22.46,76.03,18.55,2
12:00,23.1,75.6,19.08,2
13:00,22.73,72.31,19.49,2
14:00,24.39,68.34,19.52,2
15:00,24.41,70.04,19.86,2
16:00,25.37,69.8,20.44,2
17:00,24.96,71.91,20.03,2
18:00,24.02,67.84,18.71,2
19:00,23.95,69.42,19.31,2
20:00,23.69,68.29,18.01,2
21:00,23.13,67.13,18.36,2
22:00,21.77,72.47,17.94,2
23:00,20.46,67.79,17.84,2
0:00,23.16,79.98,18.25,3
1:00,21.42,83.49,18.45,3
2:00,22.48,81.41,16.94,3
3:00,22.41,80.33,17.43,3
4:00,20.96,81.74,18.33,3
5:00,21.19,83.25,17.03,3
6:00,18.87,82.09,17.01,3
7:00,21.01,81.91,16.54,3
8:00,20.57,80.0,18.7,3
9:00,21.63,80.83,17.55,3
10:00,21.46,82.82,18.02,3
11:00,22.76,79.72,17.46,3
12:00,23.17,76.94,17.75,3
13:00,24.2,73.76,19.17,3
14:00,25.24,71.61,19.06,3
15:00,24.85,74.74,19.28,3
16:00,26.01,68.46,21.0,3
17:00,23.72,68.32,19.54,3
18:00,24.89,72.28,18.77,3
19:00,24.08,65.84,20.07,3
20:00,23.34,71.82,19.0,3
21:00,22.35,69.15,17.74,3
22:00,21.65,72.52,18.35,3
23:00,21.61,74.38,18.29,3
0:00,23.22,74.69,18.18,4
1:00,21.67,72.8,18.13,4
2:00,21.77,83.07,17.41,4
3:00,21.66,83.28,18.09,4
4:00,20.32,81.83,17.35,4
5:00,20.69,81.57,16.64,4
6:00,20.47,82.08,17.05,4
7:00,20.32,75.44,17.64,4
8:00,21.84,85.19,17.03,4
9:00,21.7,80.74,17.74,4
10:00,22.48,78.81,18.51,4
11:00,22.99,78.38,17.97,4
12:00,23.58,74.96,19.06,4
13:00,23.65,75.31,19.16,4
14:00,24.25,69.53,19.52,4
15:00,25.94,69.54,19.24,4
16:00,24.75,72.25,19.17,4
17:00,25.05,69.4,18.93,4
18:00,23.26,65.71,19.94,4
19:00,23.12,66.7,18.24,4
20:00,22.41,70.79,17.51,4
21:00,21.64,67.65,17.35,4
22:00,21.9,70.86,18.72,4
23:00,21.13,77.15,17.35,4
0:00,21.75,76.32,18.87,5
1:00,21.61,79.8,18.7,5
2:00,22.63,76.94,18.61,5
3:00,22.59,80.39,18.31,5
4:00,20.48,85.03,17.18,5
5:00,21.34,80.19,18.04,5
6:00,19.81,80.1,18.06,5
7:00,21.29,80.12,17.09,5
8:00,21.98,82.57,16.64,5
9:00,21.05,76.46,17.91,5
10:00,22.66,79.02,18.19,5
11:00,22.54,78.73,18.42,5
12:00,21.57,73.92,18.16,5
13:00,24.21,74.52,19.16,5
14:00,25.8,66.98,18.82,5
15:00,25.5,68.65,20.07,5
16:00,24.65,64.89,19.58,5
17:00,25.9,65.78,19.35,5
18:00,24.56,67.68,18.69,5
19:00,23.55,68.27,17.8,5
20:00,22.98,69.87,17.58,5
21:00,21.56,69.65,17.55,5
22:00,22.67,72.37,17.28,5
23:00,20.1,72.28,17.19,5
0:00,22.95,75.58,17.98,6
1:00,22.58,76.59,18.4,6
2:00,21.81,75.37,18.63,6
3:00,21.6,82.04,18.16,6
4:00,20.98,78.81,17.1,6
5:00,21.23,82.98,16.73,6
6:00,20.99,85.08,17.29,6
7:00,20.17,84.13,17.03,6
8:00,20.12,84.19,18.12,6
9:00,22.6,78.41,18.3,6
10:00,23.44,83.85,18.14,6
11:00,23.75,80.85,18.52,6
12:00,24.21,72.64,18.43,6
13:00,23.14,71.34,19.43,6
14:00,25.88,68.45,19.56,6
15:00,25.55,68.54,19.74,6
16:00,24.47,71.23,20.69,6
17:00,24.97,68.46,19.7,6
18:00,25.41,67.69,18.74,6
19:00,23.71,67.49,19.0,6
20:00,24.37,72.19,18.12,6
21:00,22.14,71.14,18.11,6
22:00,21.75,70.09,18.67,6
23:00,21.33,75.48,17.56,6
0:00,23.17,73.61,18.73,7
1:00,21.76,77.97,17.28,7
2:00,23.64,77.54,17.91,7
3:00,21.01,79.73,17.13,7
4:00,20.98,82.07,17.54,7
5:00,21.47,81.14,17.25,7
6:00,20.49,84.35,16.04,7
7:00,21.13,84.36,17.51,7
8:00,21.66,79.98,17.42,7
9:00,21.53,82.46,17.2,7
10:00,21.82,76.23,18.15,7
11:00,22.77,75.16,19.17,7
12:00,22.3,78.72,19.11,7
13:00,24.32,71.19,19.02,7
14:00,23.79,71.35,19.5,7
15:00,25.58,67.78,19.04,7
16:00,25.03,65.5,19.73,7
17:00,23.91,71.0,19.11,7
18:00,24.18,64.93,19.22,7
19:00,23.97,68.02,19.15,7
20:00,21.68,65.62,17.7,7
21:00,23.68,70.83,18.64,7
22:00,21.93,77.42,17.14,7
23:00,21.14,73.52,17.58,7
0:00,21.75,76.48,18.39,8
1:00,22.7,76.14,18.33,8
2:00,22.44,77.18,18.27,8
3:00,20.28,85.13,17.64,8
4:00,21.13,79.66,16.54,8
5:00,20.84,84.14,17.29,8
6:00,20.72,82.38,16.78,8
7:00,21.83,84.81,17.18,8
8:00,21.64,80.7,18.59,8
9:00,22.25,76.24,17.48,8
10:00,22.83,80.98,17.44,8
11:00,23.3,75.3,18.96,8
12:00,22.28,79.7,19.54,8
13:00,24.39,73.94,18.81,8
14:00,23.9,68.24,19.63,8
15:00,25.62,65.21,19.7,8
16:00,26.46,69.73,19.51,8
17:00,24.28,65.47,19.1,8
18:00,24.94,69.26,19.28,8
19:00,23.72,65.93,19.34,8
20:00,22.4,70.05,19.25,8
21:00,22.23,67.17,17.7,8
22:00,21.6,71.07,17.77,8
23:00,21.07,73.03,17.73,8
0:00,23.53,75.17,17.43,9
1:00,22.26,78.14,18.65,9
2:00,22.86,74.76,17.41,9
3:00,21.46,81.56,17.95,9
4:00,21.08,81.5,17.34,9
5:00,20.73,82.28,16.86,9
6:00,20.24,82.84,16.88,9
7:00,20.08,86.91,17.2,9
8:00,21.41,81.85,17.72,9
9:00,22.14,84.06,18.5,9
10:00,22.34,78.66,19.22,9
11:00,22.6,79.15,18.23,9
12:00,23.99,76.56,19.08,9
13:00,23.83,72.2,18.82,9
14:00,24.61,73.24,19.96,9
15:00,25.83,67.38,20.63,9
16:00,25.82,67.06,20.39,9
17:00,24.66,76.12,19.87,9
18:00,23.92,62.38,18.94,9
19:00,23.53,69.85,19.52,9
20:00,23.55,64.05,18.57,9
21:00,21.13,67.01,18.19,9
22:00,22.05,69.77,17.4,9
23:00,21.51,76.75,17.33,9
0:00,22.17,76.78,19.33,10
1:00,22.72,73.17,17.45,10
2:00,21.7,77.93,18.47,10
3:00,22.24,82.3,17.42,10
4:00,21.58,84.32,16.78,10
5:00,20.9,81.55,17.48,10
6:00,21.63,83.26,16.67,10
7:00,21.32,85.4,17.25,10
8:00,21.73,81.42,18.1,10
9:00,22.7,82.62,16.93,10
10:00,23.1,83.08,17.34,10
11:00,22.76,76.21,18.86,10
12:00,22.71,73.38,18.63,10
13:00,25.12,76.76,19.04,10
14:00,24.72,68.52,19.53,10
15:00,24.95,70.04,19.54,10
16:00,26.17,65.73,19.56,10
17:00,24.21,64.71,19.13,10
18:00,25.09,65.36,19.85,10
19:00,23.54,64.22,19.53,10
20:00,22.95,66.51,18.63,10
21:00,23.01,65.66,17.64,10
22:00,21.49,72.22,17.65,10
23:00,22.6,74.13,17.64,10
0:00,22.0,76.17,17.66,11
1:00,23.33,78.67,18.11,11
2:00,21.84,79.01,18.16,11
3:00,21.94,78.29,17.48,11
4:00,20.73,83.69,17.31,11
5:00,20.33,85.56,16.83,11
6:00,21.39,80.74,16.63,11
7:00,20.62,81.6,17.89,11
8:00,21.04,80.9,17.25,11
9:00,22.07,80.82,17.48,11
10:00,24.04,81.05,17.43,11
11:00,22.97,76.0,18.42,11
12:00,23.11,71.14,18.81,11
13:00,22.84,67.37,18.55,11
14:00,23.94,70.65,19.07,11
15:00,25.5,69.87,19.29,11
16:00,24.56,67.06,20.57,11
17:00,25.1,69.73,20.14,11
18:00,23.91,69.84,19.05,11
19:00,24.12,66.74,19.14,11
20:00,23.54,67.43,18.85,11
21:00,22.27,67.72,18.78,11
22:00,21.34,69.0,17.9,11
23:00,21.53,68.93,17.42,11
0:00,22.93,75.21,18.37,12
1:00,21.86,75.61,18.17,12
2:00,20.96,81.23,17.74,12
3:00,22.96,78.12,17.22,12
4:00,21.95,83.66,16.84,12
5:00,19.16,84.05,17.19,12
6:00,20.7,85.72,16.82,12
7:00,21.69,81.1,17.44,12
8:00,22.01,83.15,17.61,12
9:00,21.43,78.9,18.11,12
10:00,23.23,75.21,17.51,12
11:00,22.18,80.07,18.02,12
12:00,22.7,78.09,18.47,12
13:00,24.16,76.2,18.35,12
14:00,25.34,71.47,19.21,12
15:00,23.52,68.53,19.36,12
16:00,25.64,69.08,19.35,12
17:00,26.35,69.38,19.66,12
18:00,23.42,65.39,18.79,12
19:00,23.75,68.71,18.97,12
20:00,22.62,68.31,18.14,12
21:00,22.0,69.92,17.95,12
