Hour,Temperature,Humidity,Gas Level,Day_Number
0:00,16.63,61.63,29.02,1
1:00,17.19,33.5,29.6,1
2:00,15.1,50.1,17.89,1
3:00,10.56,38.88,20.5,1
4:00,15.81,53.15,21.1,1
5:00,8.28,55.6,31.23,1
6:00,14.46,55.53,14.01,1
7:00,17.28,69.97,20.65,1
8:00,10.16,68.82,32.15,1
9:00,17.94,69.34,35.22,1
10:00,16.62,64.18,31.51,1
11:00,13.17,55.62,34.93,1
12:00,15.23,64.2,25.37,1
13:00,17.92,71.06,37.09,1
14:00,19.44,65.66,32.96,1
15:00,21.26,71.84,43.55,1
16:00,26.27,64.72,38.36,1
17:00,20.8,53.51,42.51,1
18:00,22.01,38.42,40.89,1
19:00,18.23,52.24,30.49,1
20:00,18.98,39.3,32.75,1
21:00,11.58,45.81,23.09,1
22:00,19.14,43.89,22.4,1
23:00,10.4,50.0,17.75,1
0:00,18.06,36.42,21.49,2
1:00,11.91,26.59,30.09,2
2:00,12.56,58.52,20.54,2
3:00,20.2,36.97,24.28,2
4:00,19.72,46.08,39.81,2
5:00,12.37,57.17,29.63,2
6:00,15.61,65.12,5.79,2
7:00,17.65,74.86,26.83,2
8:00,17.55,60.53,15.92,2
9:00,15.57,69.86,12.63,2
10:00,17.25,62.07,22.25,2
11:00,13.36,71.31,26.54,2
12:00,13.01,68.71,28.56,2
13:00,16.57,85.21,33.31,2
14:00,18.16,68.09,31.54,2
15:00,23.03,70.63,37.36,2
16:00,17.7,76.41,32.71,2
17:00,24.61,59.24,32.05,2
18:00,19.84,55.89,21.38,2
19:00,16.69,47.88,29.9,2
20:00,18.14,44.95,30.94,2
21:00,13.21,36.1,28.75,2
22:00,22.18,38.29,31.7,2
23:00,21.54,51.54,26.04,2
0:00,16.5,42.8,35.04,3
1:00,22.99,21.16,27.62,3
2:00,16.17,47.39,33.99,3
3:00,10.65,35.88,20.08,3
4:00,12.13,55.86,28.41,3
5:00,14.73,45.57,36.03,3
6:00,16.01,55.57,27.92,3
7:00,9.95,64.32,19.32,3
8:00,13.89,59.1,19.07,3
9:00,14.12,61.14,20.81,3
10:00,18.21,61.99,26.15,3
11:00,18.74,73.95,19.73,3
12:00,18.27,78.1,43.19,3
13:00,20.05,69.69,34.33,3
14:00,20.0,69.44,28.63,3
15:00,22.23,67.58,52.9,3
16:00,22.41,51.26,38.8,3
17:00,22.32,59.33,37.89,3
18:00,29.26,56.34,31.76,3
19:00,23.55,53.86,20.49,3
20:00,17.77,46.19,26.29,3
21:00,14.5,33.89,36.17,3
22:00,13.39,39.19,32.77,3
23:00,17.88,48.34,24.28,3
0:00,24.14,43.0,18.11,4
1:00,16.94,35.21,17.38,4
2:00,17.16,40.75,26.56,4
3:00,17.37,31.33,2.58,4
4:00,12.64,56.61,33.15,4
5:00,11.37,44.1,21.09,4
6:00,15.71,54.17,11.29,4
7:00,12.92,58.83,22.22,4
8:00,13.24,61.29,24.58,4
9:00,18.65,61.06,22.7,4
10:00,15.66,68.43,28.18,4
11:00,11.56,68.57,33.55,4
12:00,15.61,75.99,28.09,4
13:00,21.41,71.19,30.37,4
14:00,20.07,68.89,34.18,4
15:00,22.02,61.01,28.39,4
16:00,13.95,67.09,36.28,4
17:00,20.79,59.79,43.45,4
18:00,18.71,51.17,29.22,4
19:00,19.78,65.37,36.46,4
20:00,15.12,47.18,35.23,4
21:00,19.71,47.81,21.81,4
22:00,18.78,40.91,18.14,4
23:00,11.35,41.33,29.52,4
0:00,18.18,55.93,29.56,5
1:00,23.81,50.93,29.52,5
2:00,24.73,56.89,26.55,5
3:00,14.8,30.79,27.03,5
4:00,10.96,49.66,7.87,5
5:00,13.55,57.74,19.17,5
6:00,14.3,62.12,27.51,5
7:00,14.4,54.39,8.77,5
8:00,15.06,61.21,12.46,5
9:00,12.67,53.01,35.0,5
10:00,15.86,73.27,33.49,5
11:00,18.18,54.85,27.31,5
12:00,20.58,75.61,33.44,5
13:00,20.75,69.88,19.7,5
14:00,24.89,72.8,31.33,5
15:00,15.77,53.36,30.36,5
16:00,18.94,62.79,26.78,5
17:00,23.79,47.59,38.16,5
18:00,25.55,63.63,26.22,5
19:00,20.77,51.89,41.45,5
20:00,21.97,46.29,21.72,5
21:00,18.31,40.73,18.54,5
22:00,9.53,55.95,21.23,5
23:00,14.24,52.09,27.85,5
0:00,13.2,45.44,29.66,6
1:00,20.48,36.75,20.49,6
2:00,16.34,36.96,22.85,6
3:00,18.28,41.56,17.91,6
4:00,18.45,40.58,7.23,6
5:00,18.51,44.25,22.2,6
6:00,18.09,64.7,17.11,6
7:00,12.03,55.1,8.94,6
8:00,12.66,48.57,22.42,6
9:00,9.82,61.57,27.29,6
10:00,11.55,78.66,26.48,6
11:00,15.98,69.85,21.21,6
12:00,13.11,68.89,38.97,6
13:00,22.85,81.51,25.15,6
14:00,17.27,67.52,36.9,6
15:00,18.9,54.63,39.19,6
16:00,19.35,72.32,36.38,6
17:00,23.16,58.49,37.6,6
18:00,22.69,51.38,32.52,6
19:00,18.16,53.94,31.1,6
20:00,15.28,40.46,40.54,6
21:00,15.08,57.26,30.23,6
22:00,15.89,41.36,32.91,6
23:00,17.47,36.68,23.01,6
0:00,18.02,41.85,24.39,7
1:00,13.86,20.0,25.76,7
2:00,22.77,58.96,29.75,7
3:00,13.59,37.47,26.56,7
4:00,7.38,42.35,22.18,7
5:00,14.84,60.39,28.2,7
6:00,12.16,65.39,10.05,7
7:00,17.78,54.96,26.24,7
8:00,13.25,55.76,29.64,7
9:00,19.5,73.29,16.9,7
10:00,19.04,64.99,31.56,7
11:00,22.7,72.07,27.99,7
12:00,19.65,68.54,16.53,7
13:00,19.61,68.57,30.09,7
14:00,23.71,66.01,27.47,7
15:00,24.83,67.95,38.18,7
16:00,18.96,56.29,35.36,7
17:00,16.41,66.91,35.92,7
18:00,27.83,54.83,28.83,7
19:00,23.69,55.71,24.26,7
20:00,23.68,43.9,25.7,7
21:00,14.22,47.81,17.71,7
22:00,12.84,47.11,24.02,7
23:00,11.52,42.69,18.26,7
0:00,19.54,38.22,36.13,8
1:00,16.32,45.83,24.9,8
2:00,18.62,64.72,15.29,8
3:00,18.05,32.21,21.74,8
4:00,16.35,51.9,11.88,8
5:00,17.12,50.11,30.11,8
6:00,16.71,71.78,17.18,8
7:00,17.5,60.8,22.28,8
8:00,13.4,54.78,18.0,8
9:00,18.84,56.12,19.32,8
10:00,17.06,76.06,22.45,8
11:00,12.6,75.42,33.38,8
12:00,18.35,70.24,35.31,8
13:00,17.55,79.35,24.4,8
14:00,18.85,64.95,46.19,8
15:00,20.72,68.45,31.73,8
16:00,23.71,48.86,43.15,8
17:00,18.32,58.16,28.29,8
18:00,16.67,42.14,30.33,8
19:00,14.97,53.93,25.16,8
20:00,24.91,41.5,40.56,8
21:00,16.43,56.39,19.48,8
22:00,14.6,38.33,26.14,8
23:00,21.99,33.88,24.99,8
0:00,20.74,34.42,24.06,9
1:00,17.01,35.08,34.93,9
2:00,13.88,55.41,32.1,9
3:00,17.71,41.2,30.24,9
4:00,22.0,41.65,16.06,9
5:00,16.6,54.83,16.55,9
6:00,19.77,52.42,26.83,9
7:00,15.16,49.38,14.9,9
8:00,15.11,74.32,9.89,9
9:00,11.37,61.29,26.01,9
10:00,19.79,66.17,27.73,9
11:00,18.62,71.39,30.18,9
12:00,14.78,73.47,30.44,9
13:00,21.22,69.22,25.29,9
14:00,14.8,72.74,39.71,9
15:00,21.52,66.04,33.24,9
16:00,16.93,66.72,39.37,9
17:00,17.18,60.34,25.09,9
18:00,14.24,65.63,26.11,9
19:00,16.68,50.51,39.2,9
20:00,20.41,40.82,29.03,9
21:00,9.94,54.93,22.18,9
22:00,20.79,34.62,18.34,9
23:00,16.38,39.33,20.47,9
0:00,16.96,42.52,32.79,10
1:00,16.45,48.05,31.47,10
2:00,15.62,24.43,8.14,10
3:00,10.76,38.38,28.51,10
4:00,24.97,51.2,13.91,10
5:00,12.3,51.99,13.84,10
6:00,12.14,64.21,21.57,10
7:00,15.65,63.35,22.99,10
8:00,12.66,61.19,36.57,10
9:00,13.56,66.15,22.44,10
10:00,11.91,61.66,23.22,10
11:00,11.68,60.27,37.37,10
12:00,16.36,56.62,36.23,10
13:00,16.2,75.49,40.75,10
14:00,11.9,63.03,31.12,10
15:00,20.51,73.48,35.28,10
16:00,25.64,58.24,30.67,10
17:00,19.21,49.3,36.16,10
18:00,21.27,43.33,19.93,10
19:00,16.59,45.15,22.88,10
20:00,17.73,46.43,31.48,10
21:00,22.54,36.21,17.66,10
22:00,8.8,49.84,27.21,10
23:00,10.29,49.23,28.25,10
0:00,17.15,42.05,22.74,11
1:00,14.97,40.67,35.45,11
2:00,18.85,39.37,25.53,11
3:00,16.28,44.99,23.86,11
4:00,16.1,57.39,27.63,11
5:00,22.16,49.49,13.83,11
6:00,19.02,62.6,23.85,11
7:00,14.35,56.84,33.44,11
8:00,14.94,69.58,25.48,11
9:00,16.64,71.8,26.93,11
10:00,23.58,65.77,23.15,11
11:00,14.67,73.11,26.66,11
12:00,18.29,63.51,20.83,11
13:00,19.86,83.24,35.31,11
14:00,18.86,63.88,30.84,11
15:00,22.51,62.47,33.95,11
16:00,23.47,71.51,36.4,11
17:00,12.82,61.44,39.38,11
18:00,23.5,59.2,35.04,11
19:00,17.42,55.32,29.5,11
20:00,18.03,42.48,30.45,11
21:00,18.52,47.36,27.44,11
22:00,20.88,48.42,25.49,11
23:00,15.36,30.5,25.76,11
0:00,16.52,41.96,21.84,12
1:00,16.9,43.68,22.23,12
2:00,16.52,44.71,32.89,12
3:00,17.19,41.57,19.45,12
4:00,1.96,39.66,25.53,12
5:00,23.04,61.16,30.49,12
6:00,16.02,65.92,18.82,12
7:00,13.99,58.8,15.18,12
8:00,20.13,77.7,19.34,12
9:00,17.77,74.01,11.66,12
10:00,12.01,72.23,29.69,12
11:00,16.91,65.83,35.29,12
12:00,15.75,63.88,29.21,12
13:00,20.08,71.61,27.06,12
14:00,24.11,64.09,35.01,12
15:00,23.35,65.82,43.45,12
16:00,22.96,55.44,31.49,12
17:00,20.13,54.38,45.45,12
18:00,26.56,52.32,29.2,12
19:00,20.11,41.72,34.31,12
20:00,20.88,67.78,18.58,12
21:00,15.25,38.48,34.0,12
22:00,16.56,40.78,31.16,12
23:00,11.1,41.08,30.08,12
0:00,8.8,34.12,42.56,13
1:00,22.67,38.29,20.38,13
2:00,17.06,40.95,20.0,13
3:00,5.54,60.05,21.55,13
4:00,15.3,45.23,21.37,13
5:00,17.26,43.89,19.17,13
6:00,14.53,55.43,24.81,13
7:00,17.46,43.53,27.95,13
8:00,16.05,56.24,30.84,13
9:00,17.25,62.48,21.98,13
10:00,18.72,64.69,29.62,13
11:00,22.69,76.24,31.3,13
12:00,19.23,73.43,18.05,13
13:00,20.41,62.25,25.78,13
14:00,17.92,79.82,33.27,13
15:00,26.65,57.83,30.24,13
16:00,27.83,68.01,37.11,13
17:00,23.62,51.94,35.76,13
18:00,21.76,55.19,26.11,13
19:00,18.18,54.37,20.45,13
20:00,19.64,33.78,24.69,13
21:00,22.58,27.59,25.67,13
22:00,11.71,48.22,22.82,13
23:00,12.08,33.51,10.11,13
0:00,18.7,40.92,27.62,14
1:00,17.37,44.0,30.31,14
2:00,20.59,37.22,22.11,14
3:00,12.13,54.66,18.33,14
4:00,15.45,55.73,25.06,14
5:00,15.84,38.46,12.86,14
6:00,8.31,57.5,12.02,14
7:00,15.73,38.86,33.5,14
8:00,15.59,63.74,22.62,14
9:00,6.93,78.41,13.67,14
10:00,18.31,69.44,28.26,14
11:00,15.85,72.6,31.79,14
12:00,23.42,82.21,36.95,14
13:00,16.33,73.39,35.04,14
14:00,25.6,68.09,27.56,14
15:00,21.55,65.53,32.92,14
16:00,14.3,51.06,33.95,14
17:00,18.82,60.27,21.33,14
18:00,22.33,44.62,36.57,14
19:00,16.56,42.16,30.54,14
20:00,21.92,39.55,22.18,14
21:00,21.83,35.04,29.02,14
22:00,18.91,39.31,17.61,14
23:00,14.42,48.31,22.85,14
0:00,15.12,43.59,20.75,15
1:00,15.7,40.29,37.51,15
2:00,13.41,37.52,33.14,15
3:00,7.76,42.19,22.9,15
4:00,17.72,57.71,22.29,15
5:00,11.14,60.23,13.68,15
6:00,16.81,50.42,15.81,15
7:00,13.39,58.68,21.37,15
8:00,7.47,56.4,23.12,15
9:00,10.18,69.48,18.8,15
10:00,20.65,65.81,26.36,15
11:00,16.98,72.91,29.37,15
12:00,16.61,70.44,31.95,15
13:00,16.34,65.93,25.5,15
14:00,21.99,64.72,31.7,15
15:00,21.91,69.0,40.8,15
16:00,13.66,59.07,43.9,15
17:00,21.92,52.53,25.16,15
18:00,18.12,57.3,34.29,15
19:00,14.25,46.93,18.42,15
20:00,22.33,49.08,25.47,15
21:00,21.82,50.55,15.97,15
22:00,13.56,38.06,22.57,15
23:00,10.87,43.22,20.82,15
0:00,18.63,30.35,23.24,16
1:00,18.98,53.8,34.09,16
2:00,19.29,44.13,21.16,16
3:00,16.27,52.09,24.14,16
4:00,12.24,47.35,18.22,16
5:00,18.08,46.22,35.91,16
6:00,18.06,61.89,22.01,16
7:00,15.66,51.43,11.29,16
8:00,13.69,67.68,17.8,16
9:00,9.23,71.16,26.2,16
10:00,18.84,74.87,23.9,16
11:00,22.57,74.4,35.12,16
12:00,19.04,64.04,31.41,16
13:00,17.22,57.61,48.17,16
14:00,21.53,65.22,31.18,16
15:00,27.69,73.07,33.3,16
16:00,21.54,60.71,36.1,16
17:00,20.42,49.21,38.58,16
18:00,28.08,55.38,29.39,16
19:00,18.18,48.31,26.06,16
20:00,16.85,44.75,19.32,16
21:00,21.73,48.45,13.5,16
22:00,16.07,47.53,28.08,16
23:00,15.64,29.83,12.7,16
0:00,21.83,40.45,26.3,17
1:00,16.42,33.04,17.34,17
2:00,18.97,45.22,8.39,17
3:00,19.69,41.51,21.36,17
4:00,17.06,40.52,19.32,17
5:00,14.34,40.07,20.23,17
6:00,13.02,49.46,18.49,17
7:00,9.68,64.58,19.86,17
8:00,18.78,60.89,21.81,17
9:00,15.0,55.7,39.58,17
10:00,17.27,64.84,21.32,17
11:00,14.81,61.37,28.26,17
12:00,26.22,61.46,29.94,17
13:00,17.43,68.03,30.35,17
14:00,24.78,61.41,34.29,17
15:00,21.69,67.08,42.36,17
16:00,22.27,71.7,38.02,17
17:00,19.21,60.1,31.13,17
18:00,22.97,48.15,36.59,17
19:00,16.23,54.51,23.83,17
20:00,17.28,56.03,36.47,17
21:00,18.24,36.03,25.71,17
22:00,17.99,26.59,24.82,17
23:00,9.03,30.35,19.24,17
0:00,20.42,42.26,22.24,18
1:00,16.84,38.46,30.83,18
2:00,14.75,48.1,32.17,18
3:00,20.47,53.58,27.95,18
4:00,8.68,50.12,23.72,18
5:00,10.1,51.27,21.16,18
6:00,18.76,51.45,25.92,18
7:00,10.97,57.31,22.97,18
8:00,15.23,75.49,22.05,18
9:00,15.82,46.97,17.82,18
10:00,15.49,66.17,20.23,18
11:00,15.81,72.98,21.51,18
12:00,25.22,69.18,29.07,18
13:00,21.73,75.2,35.34,18
14:00,15.63,62.4,31.22,18
15:00,24.36,76.69,28.34,18
16:00,22.49,56.44,25.24,18
17:00,17.72,49.04,38.65,18
18:00,21.29,53.96,32.87,18
19:00,24.28,56.82,28.76,18
20:00,17.97,55.64,30.58,18
21:00,20.11,47.81,27.71,18
22:00,17.54,29.54,22.49,18
23:00,14.93,34.66,21.91,18
0:00,16.36,34.18,30.84,19
1:00,11.12,34.46,33.53,19
2:00,15.59,45.35,13.91,19
3:00,16.3,44.55,21.6,19
4:00,19.93,48.52,14.75,19
5:00,16.2,43.28,18.14,19
6:00,16.5,53.2,20.84,19
7:00,5.52,60.49,25.74,19
8:00,19.0,54.27,24.78,19
9:00,17.2,70.6,17.76,19
10:00,6.98,71.29,23.2,19
11:00,23.55,60.9,25.5,19
12:00,17.35,74.17,23.91,19
13:00,19.3,68.59,36.0,19
14:00,24.17,49.9,23.51,19
15:00,25.39,69.56,41.55,19
16:00,17.99,55.92,38.48,19
17:00,18.82,57.4,39.49,19
18:00,22.69,44.9,27.81,19
19:00,15.38,63.08,26.72,19
20:00,24.03,51.96,26.38,19
21:00,20.14,40.03,17.07,19
22:00,19.34,42.97,23.28,19
23:00,17.35,64.2,25.71,19
0:00,20.92,40.88,34.04,20
1:00,18.08,59.21,24.58,20
2:00,13.9,34.69,14.23,20
3:00,15.44,59.17,15.6,20
4:00,16.56,45.44,27.56,20
5:00,13.72,61.8,6.9,20
