Hour,Temperature,Humidity,Gas Level,Day_Number
0:00,20.36,75.97,16.96,1
1:00,19.81,73.65,17.16,1
2:00,19.86,68.96,15.77,1
3:00,19.64,66.1,16.24,1
4:00,17.68,64.31,16.03,1
5:00,18.3,62.85,15.57,1
6:00,17.06,55.71,14.56,1
7:00,20.96,69.7,17.1,1
8:00,21.91,72.31,17.75,1
9:00,21.91,66.2,17.2,1
10:00,21.31,65.19,17.85,1
11:00,23.0,62.26,18.82,1
12:00,22.52,56.99,18.42,1
13:00,22.7,59.16,19.53,1
14:00,24.65,56.92,20.11,1
15:00,24.32,57.73,20.22,1
16:00,24.17,60.17,21.13,1
17:00,23.25,62.06,18.86,1
18:00,24.01,64.25,20.15,1
19:00,22.84,69.9,18.52,1
20:00,21.88,71.41,18.63,1
21:00,22.05,69.59,17.44,1
22:00,22.28,74.17,17.74,1
23:00,21.93,73.05,17.14,1
0:00,20.26,80.23,16.83,2
1:00,19.53,76.06,17.37,2
2:00,19.36,68.29,17.68,2
3:00,18.99,64.89,15.87,2
4:00,18.53,58.15,15.47,2
5:00,17.83,58.45,14.93,2
6:00,17.27,56.97,14.34,2
7:00,19.8,70.02,17.26,2
8:00,20.47,70.04,16.95,2
9:00,21.67,65.36,17.29,2
10:00,22.27,66.22,18.04,2
11:00,22.4,68.03,18.13,2
12:00,23.98,58.38,19.29,2
13:00,22.86,60.97,19.5,2
14:00,23.65,55.41,19.38,2
15:00,24.85,54.57,20.08,2
16:00,23.68,58.84,19.89,2
17:00,24.65,61.38,19.63,2
18:00,23.66,64.75,19.58,2
19:00,23.51,62.74,18.6,2
20:00,22.85,68.44,19.25,2
21:00,22.54,73.45,17.34,2
22:00,21.19,76.0,17.06,2
23:00,20.78,72.41,16.88,2
0:00,20.44,78.14,17.1,3
1:00,21.02,73.6,16.94,3
2:00,19.2,66.46,16.42,3
3:00,18.54,67.82,15.79,3
4:00,17.55,61.77,15.76,3
5:00,19.24,62.4,14.57,3
6:00,16.27,53.44,14.63,3
7:00,20.0,73.62,17.04,3
8:00,20.81,69.19,17.74,3
9:00,20.16,70.09,17.49,3
10:00,22.61,63.91,18.22,3
11:00,21.67,61.58,18.04,3
12:00,22.54,63.53,19.13,3
13:00,23.24,60.8,19.8,3
14:00,24.41,59.98,20.05,3
15:00,24.27,55.47,20.48,3
16:00,25.54,59.74,19.95,3
17:00,24.53,60.76,19.42,3
18:00,23.05,64.85,19.91,3
19:00,23.65,62.82,18.29,3
20:00,23.16,69.56,18.04,3
21:00,21.9,69.92,17.92,3
22:00,21.59,70.04,17.41,3
23:00,21.38,74.91,17.74,3
0:00,21.21,73.17,17.06,4
1:00,18.96,71.17,17.0,4
2:00,18.44,73.55,15.79,4
3:00,19.56,67.03,16.21,4
4:00,18.49,64.77,16.12,4
5:00,18.5,60.0,15.37,4
6:00,17.07,60.05,14.33,4
7:00,20.62,70.96,17.02,4
8:00,22.35,68.1,17.45,4
9:00,21.62,70.66,17.63,4
10:00,22.12,66.71,18.86,4
11:00,23.69,60.74,18.19,4
12:00,23.99,66.14,19.24,4
13:00,22.7,59.76,19.7,4
14:00,25.43,58.87,20.11,4
15:00,25.73,55.72,20.88,4
16:00,25.13,60.88,20.46,4
17:00,23.67,61.22,19.85,4
18:00,23.23,62.49,19.67,4
19:00,23.19,67.31,19.08,4
20:00,22.18,65.08,18.45,4
21:00,22.63,66.66,18.47,4
22:00,21.37,71.19,17.7,4
23:00,20.57,76.35,16.45,4
0:00,20.65,78.35,17.3,5
1:00,20.07,75.42,16.64,5
2:00,18.82,66.52,16.12,5
3:00,17.5,68.35,15.37,5
4:00,17.41,62.38,15.95,5
5:00,18.07,59.9,15.25,5
6:00,16.92,55.2,14.3,5
7:00,21.49,72.39,16.22,5
8:00,19.77,73.64,17.73,5
9:00,21.57,71.11,17.48,5
10:00,21.28,66.45,18.39,5
11:00,23.27,62.12,18.24,5
12:00,22.85,64.74,19.14,5
13:00,23.66,60.44,18.99,5
14:00,24.58,57.69,19.51,5
15:00,24.59,51.71,20.59,5
16:00,25.29,59.19,19.64,5
17:00,24.24,66.5,19.56,5
18:00,22.23,64.66,19.18,5
19:00,23.76,64.5,19.06,5
20:00,21.45,61.88,17.78,5
21:00,23.72,69.02,17.6,5
22:00,21.04,70.14,18.31,5
23:00,21.71,75.23,17.42,5
0:00,20.17,78.9,16.76,6
1:00,21.65,72.91,16.28,6
2:00,19.41,69.47,16.52,6
3:00,19.09,66.26,16.11,6
4:00,18.2,67.13,15.29,6
5:00,16.81,59.78,16.11,6
6:00,17.97,60.41,14.54,6
7:00,18.64,69.96,16.11,6
8:00,21.52,71.74,16.81,6
9:00,20.91,71.71,17.89,6
10:00,23.1,69.16,18.04,6
11:00,22.75,67.06,17.89,6
12:00,23.44,63.09,18.49,6
13:00,21.76,62.25,19.25,6
14:00,23.62,58.17,19.66,6
15:00,23.79,58.29,20.56,6
16:00,25.38,59.19,19.55,6
17:00,24.33,62.9,19.12,6
18:00,23.85,65.81,19.22,6
19:00,21.62,66.92,18.43,6
20:00,21.44,67.43,18.2,6
21:00,22.57,68.68,17.82,6
22:00,22.67,73.98,17.85,6
23:00,21.07,77.18,17.33,6
0:00,22.38,78.76,16.95,7
1:00,20.49,72.94,16.94,7
2:00,18.52,65.61,16.53,7
3:00,18.86,64.41,15.63,7
4:00,18.2,61.35,15.44,7
5:00,18.08,61.1,15.68,7
6:00,17.28,57.4,14.35,7
7:00,20.0,71.18,17.09,7
8:00,22.07,73.23,17.28,7
9:00,22.54,69.75,16.97,7
10:00,22.01,68.29,18.61,7
11:00,23.23,65.78,19.31,7
12:00,23.39,60.6,19.2,7
13:00,22.58,56.37,19.21,7
14:00,23.68,60.81,18.83,7
15:00,23.68,53.8,20.31,7
16:00,25.65,54.75,19.81,7
17:00,24.55,62.65,21.13,7
18:00,23.94,67.41,18.61,7
19:00,23.9,61.88,18.56,7
20:00,22.03,71.29,18.86,7
21:00,22.27,70.87,18.55,7
