Hour,Temperature,Humidity,Gas Level,Day_Number
0:00,22.8,59.11,27.71,1
1:00,20.22,59.18,23.5,1
2:00,16.36,64.49,19.16,1
3:00,15.47,60.19,5.59,1
4:00,8.69,48.53,21.8,1
5:00,17.29,68.94,15.54,1
6:00,21.39,79.88,11.37,1
7:00,17.73,73.63,34.12,1
8:00,16.24,65.99,24.31,1
9:00,18.55,64.3,14.12,1
10:00,19.21,61.83,17.56,1
11:00,14.04,55.68,27.52,1
12:00,17.46,58.44,33.23,1
13:00,18.28,40.77,32.12,1
14:00,24.46,52.27,30.03,1
15:00,22.28,35.4,45.31,1
16:00,26.44,47.54,39.98,1
17:00,16.9,44.53,34.26,1
18:00,21.32,46.73,30.88,1
19:00,17.18,47.35,21.34,1
20:00,18.65,39.49,22.58,1
21:00,20.6,38.86,24.41,1
22:00,17.17,36.35,20.64,1
23:00,14.98,52.97,16.72,1
0:00,19.67,57.55,20.05,2
1:00,18.54,56.28,32.59,2
2:00,6.97,74.99,26.62,2
3:00,15.63,83.48,21.98,2
4:00,12.27,71.55,14.21,2
5:00,15.75,72.51,23.11,2
6:00,11.74,64.66,22.25,2
7:00,17.36,65.47,17.21,2
8:00,14.97,76.48,15.45,2
9:00,17.16,72.35,18.64,2
10:00,18.42,73.71,15.57,2
11:00,16.4,60.39,18.55,2
12:00,19.74,53.64,22.46,2
13:00,13.54,39.03,38.54,2
14:00,11.24,38.6,31.63,2
15:00,23.06,43.03,34.34,2
16:00,24.93,51.58,32.11,2
17:00,23.16,38.86,26.2,2
18:00,17.26,41.21,29.73,2
19:00,24.07,43.64,38.69,2
20:00,11.95,43.66,30.12,2
21:00,14.95,58.78,20.43,2
22:00,15.53,64.12,19.98,2
23:00,17.31,59.33,15.26,2
0:00,16.14,53.54,32.84,3
1:00,21.39,55.64,32.43,3
2:00,17.82,67.49,35.97,3
3:00,16.9,74.74,25.33,3
4:00,19.19,57.98,22.08,3
5:00,21.48,66.56,23.25,3
6:00,11.85,75.09,28.5,3
7:00,15.43,68.41,14.64,3
8:00,12.76,72.89,23.36,3
9:00,16.27,68.13,17.75,3
10:00,13.71,64.05,30.5,3
11:00,18.12,61.22,26.76,3
12:00,19.81,61.46,35.62,3
13:00,22.11,50.28,25.84,3
14:00,17.26,52.18,29.01,3
15:00,16.07,46.85,38.49,3
16:00,20.04,41.89,31.38,3
17:00,22.12,42.16,30.43,3
18:00,21.6,35.59,23.23,3
19:00,19.25,25.31,24.42,3
20:00,20.66,30.26,34.12,3
21:00,15.05,46.38,18.35,3
22:00,18.78,36.42,35.27,3
23:00,9.74,44.75,16.01,3
0:00,17.46,40.36,26.41,4
1:00,15.72,57.7,18.04,4
2:00,18.41,61.05,15.67,4
3:00,18.37,61.52,18.93,4
4:00,16.05,59.26,20.18,4
5:00,13.4,58.73,10.28,4
6:00,13.99,73.07,26.7,4
7:00,12.51,74.33,24.02,4
8:00,18.86,75.46,16.85,4
9:00,13.2,61.7,21.86,4
10:00,19.29,57.92,37.61,4
11:00,12.87,69.3,23.89,4
12:00,23.87,51.31,33.14,4
13:00,24.44,55.04,32.3,4
14:00,21.58,53.1,34.55,4
15:00,21.34,45.93,32.94,4
16:00,23.28,38.14,33.14,4
17:00,24.88,34.35,37.9,4
18:00,24.38,28.11,41.5,4
19:00,17.51,41.47,41.92,4
20:00,13.79,46.06,32.27,4
21:00,13.52,37.73,19.89,4
22:00,15.68,45.78,35.65,4
23:00,11.5,57.62,18.45,4
0:00,19.33,58.33,26.65,5
1:00,15.68,39.44,24.52,5
2:00,18.34,57.42,22.35,5
3:00,17.0,78.61,22.67,5
4:00,9.36,56.28,9.59,5
5:00,16.0,78.98,21.15,5
6:00,24.35,77.71,21.97,5
7:00,21.0,68.03,19.7,5
8:00,12.21,73.47,10.48,5
9:00,19.17,75.24,26.17,5
10:00,21.81,69.26,20.59,5
11:00,28.63,61.66,18.02,5
12:00,16.55,49.75,33.92,5
13:00,16.36,52.15,42.33,5
14:00,19.82,49.01,34.57,5
15:00,16.71,46.13,24.14,5
16:00,15.8,50.71,36.83,5
17:00,21.28,49.37,44.91,5
18:00,21.89,39.25,32.66,5
19:00,19.28,33.0,26.87,5
20:00,13.23,44.73,23.32,5
21:00,20.22,51.37,37.76,5
22:00,13.83,45.17,27.4,5
23:00,20.29,50.67,18.92,5
0:00,13.29,49.99,13.42,6
1:00,22.07,55.9,38.32,6
2:00,18.61,60.37,22.39,6
3:00,17.49,70.08,22.15,6
